Qualidade do Produto;Tempo de Entrega;Qualidade da Loja;Comentário do Cliente;Nome da Loja;Nicho;Cidade
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;excelente a pizza ❤;Companhia da Pizza;Pizzaria;Cametá
4.0;5.0;1.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;ótima pizza, sabores e massa maravilhosos;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;1.0;5.0;olha a pizza estava uma delícia! mas chegou muito fria tivemos q requentar  poderia vim mas quente. sei q pode ter acontecido alguma coisa. espero q não se repita.;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
3.0;3.0;3.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
3.0;3.0;3.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
1.0;1.0;1.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;1.0;1.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;5.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;4.0;5.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
5.0;3.0;4.0;Sem comentário;Companhia da Pizza;Pizzaria;Cametá
